organism,header_genome,mitogenome,Shortcut (renamed),tax_id,five_letter_code,default_location,header_mitogenome,assembly_location,assembly,mito_assembly_location,mito_assembly,
Marchantia polymorpha,Marchantia,mitogenome_<genename>_Marchantia*_MK202951.1,MarcPoly,3197,MARPO,u,Marchantia*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCA_003032435.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/MK202951.1,
Nicotiana attenuata,Nattenuata,mitogenome_<genename>_Nicattenuata,NicoAtte,49451,NICAT,u,Nicattenuata,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_001879085.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_036467.1,
Nicotiana tabacum,Ntabacum,mitogenome_<genename>_Nictabacum,NicoTaba,4097,TOBAC,n,Nictabacum,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000715135.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_006581.1,
Mesostigma viride,Mesostigma,mitogenome_<genename>_Mesostigma,MesoViri,41882,MESVI,u,Mesostigma*,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/SRR1594255,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/AF353999.1,
Diphylleia rotans,Diphylleia,mitogenome_<genename>_Diphylleia,DiphRota,190327,DIPRO,u,Diphylleia*,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/SRR5997434,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_029886.1,
Rigifila ramosa,Rigifila,(mitogenome not sequenced),RigiRamo,1122280,RIGRA,u,,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/SRR5997435,,,
Cryptomonas curvata,Cryptomonas,mitogenome_<genename>_Cryptomonas,CrypCurv,233186,CRYCU,u,Cryptomonas*,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/?term=MMETSP1050,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_037454.1,
Goniomonas avonlea,Goniomonas,mitogenome_<genename>_Goniomonas,GoniAvon,1255295,GONAV,n,Goniomonas*,Genome,https://www.ncbi.nlm.nih.gov/nuccore/QUTJ00000000,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/AP018919.1/,
Palpitomonas bilix,Palpitomonas,mitogenome_<genename>_Palpitomonas,PalpBili,652834,PALBI,u,Palpitomonas*,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/SRR1294410,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/AP017433.1/,
Euglena gracilis,EgracilisGEFR,(mitogenome does not contain ribosomal protein genes),EuglGrac,3039,EUGGR,n,,Transcriptome,https://www.ncbi.nlm.nih.gov/nuccore/GEFR00000000.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/LQMU00000000,
Euglena gracilis,EgracilisSRR,(mitogenome does not contain ribosomal protein genes),EuglGrac,3039,EUGGR,n,,Transcriptome,https://www.ncbi.nlm.nih.gov/nuccore/GDJR00000000.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/LQMU00000000,
Euglena gracilis,Egracilis,(mitogenome does not contain ribosomal protein genes),EuglGrac,3039,EUGGR,n,,Genome,https://academic.oup.com/mbe/article/38/3/788/5901548,,,
Euglena longa,Euglenalonga,(mitogenome does not contain ribosomal protein genes),EuglLong,3037,EUGLO,n,,Transcriptome,https://www.ncbi.nlm.nih.gov/nuccore/GGOE00000000.1/,,,
Trypanosoma brucei*,Trypanosoma,mitogenome_<genename>_Trypanosoma,TrypBruc,5691,TRYB2,n,Trypanosoma*,Genome,https://www.science.org/doi/full/10.1126/science.aau7735,,,
